site,category,cli_ms,cli_usd,turns_cli,mcp_ms,mcp_usd,turns_mcp,notes
AcademyBugs,General Practice,6380,0.008423,1,61013,0.108617,17,clean-two-phase;bracket-v2;cli-rerun-v2
A11y Coffee,General Practice,6125,0.008237,1,34973,0.063507,10,clean-two-phase;bracket-v2;cli-rerun-v2
Basic Calculator,General Practice,4874,0.008834,1,44934,0.068643,12,clean-two-phase;bracket-v2;cli-rerun-v2
Candy Mapper,General Practice,10590,0.007752,1,37853,0.069097,10,clean-two-phase;bracket-v2;cli-rerun-v2
Cnarios,General Practice,7093,0.041359,2,41276,0.064281,10,clean-two-phase;bracket-v2;cli-rerun-v2
Evil Tester,General Practice,8775,0.013977,2,44361,0.139864,14,clean-two-phase;bracket-v2;cli-rerun-v2
Gefälscht CompuTech,General Practice,25809,0.027636,3,44533,0.085381,13,clean-two-phase;bracket-v2;cli-rerun-v2
Parabank,General Practice,11840,0.041804,2,34389,0.057092,10,clean-two-phase;bracket-v2;cli-rerun-v2
Parking Cost Calculator,General Practice,5637,0.007544,1,50486,0.097946,15,clean-two-phase;bracket-v2;cli-rerun-v2
PHP Travels,General Practice,6293,0.024962,2,53688,0.101367,14,clean-two-phase;bracket-v2;cli-rerun-v2
Polymer Shop,General Practice,8647,0.007621,1,31033,0.057941,9,clean-two-phase;bracket-v2;cli-rerun-v2
Potion Shop,General Practice,5426,0.027636,3,42220,0.074933,11,clean-two-phase;bracket-v2;cli-rerun-v2
Practice Software Testing,General Practice,11192,0.019011,2,61556,0.128798,19,clean-two-phase;bracket-v2;cli-rerun-v2
PrestaShop,General Practice,11738,0.041804,2,47687,0.076632,11,clean-two-phase;bracket-v2;cli-rerun-v2
QA Practice,General Practice,6314,0.007404,1,52303,0.108796,17,clean-two-phase;bracket-v2;cli-rerun-v2
QA Training Simulator,General Practice,23170,0.007692,1,50566,0.080904,13,clean-two-phase;bracket-v2;cli-rerun-v2
Random User Generator,API Testing,7347,0.053125,1,43690,0.083337,13,clean-two-phase;bracket-v2;cli-rerun-v2
Real World Example Apps,General Practice,11687,0.059078,4,42298,0.089305,11,clean-two-phase;bracket-v2;cli-rerun-v2
testers.ai,General Practice,4226,0.018297,2,41875,0.067227,11,clean-two-phase;bracket-v2;cli-rerun-v2
Test Track,General Practice,11588,0.013876,2,57440,0.110937,19,clean-two-phase;bracket-v2;cli-rerun-v2
The Boozang Test Lab,General Practice,8401,0.007831,1,50224,0.0808,14,clean-two-phase;bracket-v2;cli-rerun-v2
The iframe Search Engine,General Practice,4156,0.006577,1,43240,0.099711,15,clean-two-phase;bracket-v2;cli-rerun-v2
The Internet,Automation Testing,10647,0.018309,2,59245,0.104447,16,clean-two-phase;bracket-v2;cli-rerun-v2
The Random Number Service,API Testing,5942,0.007614,1,46765,0.094044,14,clean-two-phase;bracket-v2;cli-rerun-v2
ToDo List,General Practice,9878,0.017302,2,59299,0.084199,13,clean-two-phase;bracket-v2;cli-rerun-v2
UI5 Demo Kit,General Practice,13242,0.013876,2,57399,0.114297,15,clean-two-phase;bracket-v2;cli-rerun-v2
